sequence,W,P,F_0,F_1
"[('encoder_0_channels', 8), ('encoder_1_channels', 32), ('encoder_2_channels', 8), ('bottleneck_channels', 32), ('decoder_2_channels', 8), ('decoder_1_channels', 64), ('decoder_0_channels', 16), ('edge_0_1', 'none'), ('edge_0_2', 'identity'), ('edge_1_2', 'none'), ('edge_0_3', 'none'), ('edge_1_3', 'none'), ('edge_2_3', 'none'), ('edge_0_4', 'none'), ('edge_1_4', 'depthwise_conv_3x3'), ('edge_2_4', 'none'), ('edge_3_4', 'none')]",,3,0.9997053146362305,0.0015909910202026368
"[('encoder_0_channels', 16), ('encoder_1_channels', 64), ('encoder_2_channels', 32), ('bottleneck_channels', 8), ('decoder_2_channels', 64), ('decoder_1_channels', 16), ('decoder_0_channels', 16), ('edge_0_1', 'none'), ('edge_0_2', 'none'), ('edge_1_2', 'dilated_conv_3x3_r4'), ('edge_0_3', 'none'), ('edge_1_3', 'dilated_conv_3x3_r2'), ('edge_2_3', 'identity'), ('edge_0_4', 'identity'), ('edge_1_4', 'dilated_conv_3x3_r2'), ('edge_2_4', 'identity'), ('edge_3_4', 'identity')]",,2,0.9968268871307373,0.002011013031005859
"[('encoder_0_channels', 8), ('encoder_1_channels', 32), ('encoder_2_channels', 64), ('bottleneck_channels', 16), ('decoder_2_channels', 32), ('decoder_1_channels', 16), ('decoder_0_channels', 8), ('edge_0_1', 'none'), ('edge_0_2', 'none'), ('edge_1_2', 'none'), ('edge_0_3', 'none'), ('edge_1_3', 'dilated_conv_3x3_r4'), ('edge_2_3', 'none'), ('edge_0_4', 'conv_1x5_5x1'), ('edge_1_4', 'dilated_conv_3x3_r2'), ('edge_2_4', 'dilated_conv_3x3_r4'), ('edge_3_4', 'identity')]",,0,0.2739194631576538,0.002903437614440918
"[('encoder_0_channels', 64), ('encoder_1_channels', 64), ('encoder_2_channels', 64), ('bottleneck_channels', 16), ('decoder_2_channels', 64), ('decoder_1_channels', 64), ('decoder_0_channels', 64), ('edge_0_1', 'none'), ('edge_0_2', 'none'), ('edge_1_2', 'conv_1x3_3x1'), ('edge_0_3', 'none'), ('edge_1_3', 'identity'), ('edge_2_3', 'none'), ('edge_0_4', 'none'), ('edge_1_4', 'none'), ('edge_2_4', 'none'), ('edge_3_4', 'none')]",,3,0.9997711777687073,0.0012256860733032226
"[('encoder_0_channels', 8), ('encoder_1_channels', 32), ('encoder_2_channels', 64), ('bottleneck_channels', 16), ('decoder_2_channels', 64), ('decoder_1_channels', 32), ('decoder_0_channels', 16), ('edge_0_1', 'depthwise_conv_3x3'), ('edge_0_2', 'none'), ('edge_1_2', 'none'), ('edge_0_3', 'identity'), ('edge_1_3', 'identity'), ('edge_2_3', 'dilated_conv_3x3_r2'), ('edge_0_4', 'conv_1x5_5x1'), ('edge_1_4', 'depthwise_conv_3x3'), ('edge_2_4', 'conv_1x5_5x1'), ('edge_3_4', 'dilated_conv_3x3_r2')]",,1,0.14549994468688965,0.006361246109008789
"[('encoder_0_channels', 32), ('encoder_1_channels', 16), ('encoder_2_channels', 8), ('bottleneck_channels', 32), ('decoder_2_channels', 32), ('decoder_1_channels', 8), ('decoder_0_channels', 32), ('edge_0_1', 'conv_1x5_5x1'), ('edge_0_2', 'none'), ('edge_1_2', 'none'), ('edge_0_3', 'dilated_conv_3x3_r4'), ('edge_1_3', 'dilated_conv_3x3_r4'), ('edge_2_3', 'conv_1x5_5x1'), ('edge_0_4', 'conv_1x5_5x1'), ('edge_1_4', 'conv_1x1'), ('edge_2_4', 'none'), ('edge_3_4', 'conv_1x3_3x1')]",,1,0.05022144317626953,0.008735966682434083
"[('encoder_0_channels', 64), ('encoder_1_channels', 32), ('encoder_2_channels', 32), ('bottleneck_channels', 8), ('decoder_2_channels', 32), ('decoder_1_channels', 32), ('decoder_0_channels', 64), ('edge_0_1', 'none'), ('edge_0_2', 'dilated_conv_3x3_r4'), ('edge_1_2', 'none'), ('edge_0_3', 'dilated_conv_3x3_r4'), ('edge_1_3', 'none'), ('edge_2_3', 'dilated_conv_3x3_r4'), ('edge_0_4', 'conv_1x3_3x1'), ('edge_1_4', 'none'), ('edge_2_4', 'identity'), ('edge_3_4', 'dilated_conv_3x3_r4')]",,2,0.10495507717132568,0.0066955327987670895
"[('encoder_0_channels', 64), ('encoder_1_channels', 8), ('encoder_2_channels', 32), ('bottleneck_channels', 32), ('decoder_2_channels', 16), ('decoder_1_channels', 8), ('decoder_0_channels', 32), ('edge_0_1', 'none'), ('edge_0_2', 'conv_1x1'), ('edge_1_2', 'dilated_conv_3x3_r2'), ('edge_0_3', 'dilated_conv_3x3_r2'), ('edge_1_3', 'conv_1x1'), ('edge_2_3', 'conv_1x1'), ('edge_0_4', 'conv_1x1'), ('edge_1_4', 'conv_1x3_3x1'), ('edge_2_4', 'identity'), ('edge_3_4', 'none')]",,2,0.1812942624092102,0.005066323280334473
"[('encoder_0_channels', 8), ('encoder_1_channels', 64), ('encoder_2_channels', 32), ('bottleneck_channels', 16), ('decoder_2_channels', 8), ('decoder_1_channels', 32), ('decoder_0_channels', 64), ('edge_0_1', 'none'), ('edge_0_2', 'conv_1x1'), ('edge_1_2', 'identity'), ('edge_0_3', 'dilated_conv_3x3_r4'), ('edge_1_3', 'dilated_conv_3x3_r4'), ('edge_2_3', 'conv_1x5_5x1'), ('edge_0_4', 'conv_1x5_5x1'), ('edge_1_4', 'conv_1x5_5x1'), ('edge_2_4', 'dilated_conv_3x3_r4'), ('edge_3_4', 'depthwise_conv_3x3')]",,3,0.09912276268005371,0.008317899703979493
"[('encoder_0_channels', 64), ('encoder_1_channels', 32), ('encoder_2_channels', 8), ('bottleneck_channels', 16), ('decoder_2_channels', 16), ('decoder_1_channels', 32), ('decoder_0_channels', 64), ('edge_0_1', 'none'), ('edge_0_2', 'none'), ('edge_1_2', 'none'), ('edge_0_3', 'none'), ('edge_1_3', 'conv_1x5_5x1'), ('edge_2_3', 'none'), ('edge_0_4', 'identity'), ('edge_1_4', 'dilated_conv_3x3_r4'), ('edge_2_4', 'conv_1x3_3x1'), ('edge_3_4', 'conv_1x1')]",,0,0.9473685026168823,0.0023983240127563475
