architecture,params,inference_time_cpu,inference_time_gpu
64:16:16:8:32:32:16|d3r4:z:c1x1:c1x5:d3r4:c1x1,203545,0.34737040996551516,0.026965117454528807
16:16:64:32:16:8:8|c1x3:c1x1:id:z:d3r4:d3r2,147241,0.06823689937591552,0.005057692527770996
16:8:16:16:8:16:32|d3r2:d3r2:d3r2:c1x5:c1x3:d3r2,123873,0.07592568397521973,0.012101006507873536
64:64:16:16:64:64:64|d3r2:d3r4:id:c1x3:z:c1x5,787993,0.6643643379211426,0.05084981918334961
16:32:32:64:64:8:16|dw3x3:c1x3:z:z:d3r4:dw3x3,176145,0.2524104118347168,0.0191500186920166
64:16:64:8:8:16:16|c1x1:c1x5:c1x1:id:c1x3:c1x1,158561,0.320418381690979,0.0240307092666626
8:64:16:32:8:8:64|c1x1:d3r4:id:c1x3:c1x1:z,123121,0.07760002613067626,0.005628705024719238
8:16:16:16:32:64:16|z:dw3x3:dw3x3,15737,0.0876420259475708,0.006216883659362793
32:64:16:64:16:8:64|d3r2:dw3x3:dw3x3:d3r2:dw3x3:c1x1,264585,0.20483050346374512,0.015652179718017578
64:16:32:16:8:64:16|d3r4:dw3x3:d3r4:d3r4:c1x1:z,227289,0.372898006439209,0.02581937313079834
8:8:32:16:8:16:8|dw3x3:dw3x3:id:c1x3:c1x1:d3r4,35777,0.04162273406982422,0.004758501052856445
8:16:16:32:16:16:8|d3r4:d3r4:d3r4:id:dw3x3:d3r2,83385,0.06945390701293945,0.006675338745117188
8:16:8:64:32:8:32|c1x1:d3r4:z:d3r4:dw3x3:dw3x3,94617,0.09758875370025635,0.008881306648254395
16:8:16:8:32:64:64|c1x3:d3r2:c1x3,201497,0.15399038791656494,0.011924839019775391
64:16:64:8:32:16:8|c1x3:id:c1x5:z:c1x3:z,216249,0.3854717254638672,0.02926342487335205
64:8:32:8:16:16:8|dw3x3:d3r4:c1x1:c1x5:dw3x3:d3r4,149897,0.37308244705200194,0.02768988609313965
32:32:16:64:64:16:16|dw3x3:c1x3:z:d3r4:z:dw3x3,154289,0.26886985301971433,0.022353458404541015
16:64:16:8:32:8:64|dw3x3:z:c1x3:d3r2:c1x1:c1x5,229425,0.1727879524230957,0.015798044204711915
32:16:8:64:16:16:8|c1x3:d3r2:dw3x3:c1x5:c1x5:d3r2,226185,0.18445303440093994,0.018669557571411134
16:8:64:16:64:8:64|d3r2:id:z:dw3x3:c1x5:d3r2,349897,0.3444374084472656,0.02210073471069336
16:16:32:8:16:64:32|c1x1:dw3x3:z:c1x1:c1x5:z,94217,0.13962762355804442,0.00953226089477539
32:8:8:16:64:16:16|c1x5:d3r4:d3r2:c1x1:c1x5:c1x5,275737,0.5144311189651489,0.040920138359069824
64:16:16:16:8:8:8|c1x1:d3r4:c1x3:d3r2:c1x1:id,95489,0.30772011280059813,0.0222670316696167
64:8:16:64:64:32:16|z:c1x3:dw3x3,90769,0.28807525634765624,0.019384479522705077
16:8:16:8:64:8:8|c1x5:id:d3r2:d3r4:c1x1:c1x3,139609,0.3554833173751831,0.024785494804382323
32:64:64:32:32:8:32|id:c1x3:c1x3:d3r4:d3r2:c1x5,522489,0.2708038330078125,0.024363613128662108
8:16:16:64:8:8:16|c1x3:z:dw3x3:c1x1:dw3x3:dw3x3,48281,0.040168929100036624,0.004657554626464844
32:32:16:64:32:32:32|c1x1:c1x1:dw3x3:c1x1:c1x5:d3r4,223497,0.21835458278656006,0.017337584495544435
8:8:32:32:32:64:64|c1x1:c1x3:c1x3:d3r4:c1x3:c1x1,348121,0.219350266456604,0.01784090995788574
64:16:8:8:8:32:32|c1x1:d3r4:z:d3r2:id:id,87441,0.19564552307128907,0.015720820426940917
8:8:64:8:16:64:64|dw3x3:d3r2:dw3x3:c1x5:d3r4:c1x3,448897,0.18053007125854492,0.017336583137512206
32:64:64:64:32:8:8|c1x1:dw3x3:c1x3:c1x1:c1x1:d3r2,279153,0.21172161102294923,0.016536903381347657
8:32:16:16:32:32:16|dw3x3:d3r4:id:id:dw3x3:d3r2,91657,0.13336093425750734,0.009354376792907714
8:32:8:32:16:8:16|d3r2:c1x3:d3r4:d3r2:dw3x3:d3r2,107761,0.09448130130767822,0.007897043228149414
32:8:32:8:8:16:16|c1x5:id:id:id:id:z,31361,0.0674551248550415,0.005715179443359375
32:8:8:16:32:64:16|c1x1:d3r4:d3r4:c1x1:d3r2:c1x5,255193,0.27445192337036134,0.022262430191040038
16:32:32:64:8:32:8|dw3x3:id:z:c1x3:id:c1x3,102129,0.10167999267578125,0.006776499748229981
8:64:16:16:32:64:64|d3r2:dw3x3:c1x1:id:c1x1:c1x5,330977,0.2709120035171509,0.018168878555297852
64:32:32:32:32:64:16|dw3x3:id:d3r2:c1x1:dw3x3:dw3x3,185457,0.4886039733886719,0.026512622833251953
16:64:8:32:16:32:16|d3r4:c1x1:d3r2:c1x5:d3r2:z,251081,0.14440531730651857,0.010319089889526368
32:16:8:64:16:64:32|c1x3:id:d3r4:c1x5:c1x3:c1x1,338281,0.2387623071670532,0.020160388946533204
16:16:32:64:64:8:32|c1x1:c1x1:d3r4:c1x3:z:c1x3,237769,0.34802727699279784,0.023120999336242676
32:16:32:64:8:8:8|id:d3r2:c1x5:z:z:d3r2,172769,0.10575218200683593,0.00924694538116455
8:64:64:64:64:32:32|c1x5:dw3x3:c1x1:c1x5:c1x5:id,600945,0.525977635383606,0.03572869300842285
32:8:8:8:8:8:16|d3r2:dw3x3:d3r4:id:c1x5:d3r4,62281,0.15507724285125732,0.012894558906555175
16:64:8:16:32:16:32|dw3x3:id:d3r2:c1x3:c1x5:c1x1,189953,0.2104414463043213,0.01620810031890869
8:16:32:8:8:32:16|c1x3:c1x5:id,46625,0.0370743989944458,0.003997254371643067
64:8:64:64:16:32:8|c1x1:dw3x3:id:d3r2:d3r2:c1x5,362601,0.3770026683807373,0.028189659118652344
32:8:8:8:16:8:8|c1x3:d3r2:z:d3r4:z:c1x3,47817,0.1368781805038452,0.010299086570739746
32:32:32:32:32:64:8|dw3x3:dw3x3:c1x5:c1x5:c1x5:z,307609,0.6945024490356445,0.02957770824432373
64:16:64:64:64:16:32|id:c1x3:d3r4:d3r2:z:c1x5,610457,1.449317502975464,0.04591033458709717
32:16:32:16:8:64:8|d3r4:id:c1x3:d3r2:z:c1x5,195873,0.36294867992401125,0.01794719696044922
32:32:32:32:16:16:64|d3r4:c1x3:id:id:c1x3:c1x1,209129,0.3041340112686157,0.012731313705444336
8:32:16:8:64:16:8|id:c1x1:d3r2:d3r2:d3r2:c1x1,148873,0.3487842559814453,0.01688568592071533
64:64:8:8:16:16:64|d3r4:c1x3:d3r4:d3r2:c1x5:c1x1,501545,0.6653004169464112,0.03594181537628174
16:64:64:64:64:64:64|dw3x3:z:c1x5:c1x1:d3r4:z,542049,0.46021695137023927,0.026817917823791504
16:16:8:32:8:32:64|d3r2:dw3x3:d3r2:d3r4:c1x3:c1x3,266489,0.1986140489578247,0.013714456558227539
32:32:16:32:64:32:8|c1x1:c1x1:dw3x3,28033,0.21569857597351075,0.010722875595092773
16:16:16:8:8:32:32|d3r2:dw3x3:d3r2,63505,0.07776885032653809,0.004981470108032226
8:64:32:32:64:32:32|c1x5:c1x5:d3r4:dw3x3:c1x3:id,440593,0.5149496078491211,0.03362967967987061
64:32:8:8:32:8:64|c1x3:d3r4:d3r4:c1x1:d3r2:c1x3,375929,0.592345118522644,0.03402426242828369
32:64:16:32:32:16:16|c1x1:c1x5:id:d3r4:z:id,152825,0.21443674564361573,0.013161063194274902
64:32:16:8:16:8:64|id:c1x1:z:c1x5:id:dw3x3,109369,0.3389709711074829,0.018502306938171387
64:8:64:32:16:64:64|d3r2:c1x3:d3r4:id:d3r2:d3r2,748681,1.0938878059387207,0.031079912185668947
32:64:16:32:32:32:8|d3r2:d3r4:dw3x3:c1x5:id:d3r4,329585,0.6807759523391723,0.02105712890625
64:32:64:32:64:8:32|id:c1x5:c1x1:c1x1:c1x3:d3r2,432137,0.8688214063644409,0.045442843437194826
8:64:16:8:64:16:64|id:c1x5:c1x1:z:z:d3r4,237017,0.32208900451660155,0.018645453453063964
32:64:16:16:32:64:8|c1x3:c1x5:id:id:c1x1:d3r2,301017,0.31899418830871584,0.021532630920410155
8:64:16:32:16:16:16|c1x3:c1x3:z:c1x5:id:c1x3,158313,0.11240713596343994,0.010441207885742187
64:16:32:64:64:8:16|d3r2:d3r4:c1x3:c1x1:d3r2:dw3x3,427857,0.7847500085830689,0.044289040565490725
32:64:16:8:16:8:32|c1x5:c1x1:id,68873,0.09649884700775146,0.0062782526016235355
32:16:64:8:8:32:16|d3r4:c1x5:c1x5:c1x1:z:id,178849,0.18768012523651123,0.01364893913269043
64:32:64:64:16:32:16|id:c1x3:d3r2:c1x1:c1x3:c1x3,426089,0.5111048698425293,0.030857110023498537
8:32:64:64:64:8:8|id:d3r2:d3r4:dw3x3:id:c1x5,354865,0.33085150718688966,0.020270299911499024
