arch_str,train_loss,iteration,num_parameters
16:64:8:32:32:8:16|c1x1:c1x1:d3r4:dw3x3:c1x1:z:c1x1:d3r4:id:id,0.9998657703399658,1,149513
32:64:8:16:16:32:16|z:dw3x3:d3r4:dw3x3:c1x1:id:d3r4:c1x3:c1x5:z,0.9997848868370056,2,152777
64:16:32:8:32:8:32|d3r2:z:c1x3:id:z:id:z:d3r2:z:d3r4,0.9997637867927551,1,246009
8:32:16:8:32:8:32|dw3x3:c1x5:dw3x3:c1x5:c1x1:d3r4:c1x5:z:id:c1x5,0.9996967911720276,2,176873
32:16:8:16:64:16:8|c1x5:d3r2:id:d3r2:c1x5:c1x3:dw3x3:z:d3r4:d3r4,0.9997810125350952,3,351865
64:16:64:8:32:8:16|d3r4:z:d3r2:d3r2:dw3x3:id:dw3x3:id:dw3x3:c1x5,0.999828577041626,4,346017
64:64:16:8:8:64:64|c1x3:id:c1x3:c1x3:dw3x3:dw3x3:c1x3:dw3x3:z:d3r2,0.9997997283935547,5,628545
16:64:8:64:16:16:32|c1x1:dw3x3:d3r4:c1x3:c1x1:d3r2:d3r2:d3r2:c1x5:d3r4,0.9998292326927185,6,601745
64:16:16:8:8:8:64|c1x3:c1x3:d3r2:z:c1x5:z:dw3x3:z:d3r4:id,0.9997986555099487,7,341097
8:32:16:64:16:16:32|dw3x3:d3r2:c1x3:d3r4:dw3x3:d3r4:dw3x3:d3r4:c1x3:c1x1,0.9997496604919434,8,350065
64:16:64:64:64:32:8|dw3x3:d3r4:c1x1:c1x5:c1x5:c1x5:c1x1:d3r2:d3r2:id,0.9998354911804199,9,1024745
32:8:64:8:64:32:64|z:id:id:z:dw3x3:dw3x3:d3r2:c1x3:d3r2:c1x3,0.9997679591178894,10,358089
64:16:16:32:64:32:64|d3r2:c1x5:d3r2:z:c1x5:id:d3r4:z:dw3x3:dw3x3,0.9997640252113342,11,720409
8:16:8:32:64:64:64|z:id:c1x5:z:dw3x3:z:d3r4:c1x5:d3r4:z,0.9997985363006592,12,253017
32:32:32:8:16:8:32|d3r4:c1x3:id:dw3x3:c1x5:dw3x3:d3r4:dw3x3:dw3x3:d3r2,0.9996764063835144,13,232001
32:64:32:8:64:16:64|id:d3r4:c1x5:c1x1:c1x3:d3r4:c1x5:c1x5:id:d3r2,0.9997618794441223,14,921625
8:16:64:16:8:8:16|c1x5:d3r2:c1x3:c1x3:c1x5:d3r2:id:z:c1x1:c1x3,0.9997389912605286,15,276081
16:32:8:64:16:8:16|z:c1x1:dw3x3:id:z:d3r2:d3r4:z:z:dw3x3,0.9996151328086853,16,99593
64:32:64:16:16:64:32|d3r2:c1x5:d3r2:id:dw3x3:c1x5:c1x3:c1x3:c1x1:id,0.9997956156730652,17,783241
8:64:8:64:16:8:32|dw3x3:d3r2:c1x5:d3r4:c1x5:d3r4:c1x5:dw3x3:c1x5:c1x5,0.9998829364776611,18,660145
